transaction_number,maker,checker,status,type,capture_date,sla,team,score
792371,Name 1,Name 5,True,Single Deal,2025-02-10,3,Team A,100
848331,Name 6,Name 5,True,Single Deal,2025-02-11,2,Team A,98
222600,Name 4,Name 9,True,Single Deal,2025-02-11,4,Team A,100
340973,Name 10,Name 14,True,Master Deal,2025-02-12,1,Team B,98
186904,Name 2,Name 9,True,Single Deal,2025-02-12,1,Team A,100
458915,Name 10,Name 13,True,Single Deal,2025-02-12,1,Team B,100
758623,Name 2,Name 1,True,Single Deal,2025-02-12,2,Team A,100
141686,Name 9,Name 1,True,Single Deal,2025-02-13,2,Team A,100
509777,Name 13,Name 14,True,Master Deal,2025-02-13,3,Team B,99
630949,Name 3,Name 7,True,Single Deal,2025-02-14,1,Team A,98
772995,Name 12,Name 13,True,Master Deal,2025-02-14,7,Team B,100
859516,Name 14,Name 13,True,Master Deal,2025-02-15,4,Team B,97
357212,Name 9,Name 1,True,Single Deal,2025-02-15,1,Team A,100
450267,Name 5,Name 9,True,Single Deal,2025-02-15,1,Team A,100
453760,Name 5,Name 9,True,Single Deal,2025-02-15,3,Team A,100
871440,Name 4,Name 8,True,Master Deal,2025-02-15,1,Team A,100
287615,Name 9,Name 4,True,Single Deal,2025-02-16,2,Team A,100
701870,Name 9,Name 1,True,Master Deal,2025-02-17,1,Team A,99
218167,Name 11,Name 13,True,Single Deal,2025-02-18,2,Team B,100
585166,Name 4,Name 2,True,Master Deal,2025-02-18,2,Team A,99
395087,Name 6,Name 9,True,Single Deal,2025-02-18,2,Team A,99
759681,Name 11,Name 13,True,Single Deal,2025-02-18,1,Team B,98
336288,Name 11,Name 14,True,Single Deal,2025-02-19,2,Team B,100
297831,Name 1,Name 6,True,Single Deal,2025-02-19,3,Team A,100
707716,Name 7,Name 5,True,Single Deal,2025-02-19,2,Team A,99
701740,Name 2,Name 1,True,Single Deal,2025-02-19,2,Team A,100
102359,Name 8,Name 2,True,Master Deal,2025-02-19,2,Team A,100
972428,Name 13,Name 12,True,Single Deal,2025-02-19,2,Team B,100
239359,Name 9,Name 6,True,Master Deal,2025-02-20,2,Team A,99
414931,Name 6,Name 3,True,Single Deal,2025-02-20,3,Team A,100
525006,Name 6,Name 4,True,Single Deal,2025-02-21,5,Team A,100
326041,Name 7,Name 1,True,Master Deal,2025-02-22,2,Team A,100
607870,Name 6,Name 7,True,Single Deal,2025-02-23,1,Team A,100
392051,Name 6,Name 9,True,Single Deal,2025-02-23,1,Team A,100
247158,Name 4,Name 2,True,Master Deal,2025-02-23,4,Team A,99
152458,Name 9,Name 5,True,Master Deal,2025-02-23,2,Team A,99
529354,Name 7,Name 8,True,Single Deal,2025-02-23,2,Team A,99
113913,Name 8,Name 4,True,Single Deal,2025-02-23,3,Team A,100
340619,Name 5,Name 1,True,Single Deal,2025-02-23,1,Team A,97
759439,Name 4,Name 5,True,Single Deal,2025-02-24,3,Team A,97
766076,Name 6,Name 8,True,Single Deal,2025-02-24,2,Team A,100
544740,Name 12,Name 11,True,Single Deal,2025-02-24,5,Team B,99
728934,Name 10,Name 13,True,Master Deal,2025-02-25,2,Team B,98
567771,Name 6,Name 5,True,Single Deal,2025-02-25,4,Team A,99
818115,Name 12,Name 10,True,Single Deal,2025-02-26,1,Team B,100
261528,Name 4,Name 6,True,Master Deal,2025-02-26,2,Team A,99
743964,Name 14,Name 12,True,Single Deal,2025-02-27,3,Team B,99
734698,Name 7,Name 5,True,Single Deal,2025-02-27,1,Team A,100
137754,Name 10,Name 14,True,Master Deal,2025-02-27,1,Team B,99
418079,Name 12,Name 14,True,Single Deal,2025-02-28,9,Team B,100
439297,Name 12,Name 14,True,Single Deal,2025-02-28,2,Team B,100
323753,Name 1,Name 6,True,Single Deal,2025-02-28,3,Team A,100
902723,Name 7,Name 3,True,Single Deal,2025-02-28,1,Team A,100
226889,Name 14,Name 13,True,Single Deal,2025-02-28,2,Team B,100
964226,Name 6,Name 1,True,Single Deal,2025-02-28,2,Team A,100
928924,Name 13,Name 10,True,Single Deal,2025-02-28,2,Team B,100
921794,Name 4,Name 7,True,Single Deal,2025-03-01,1,Team A,99
635591,Name 10,Name 12,True,Single Deal,2025-03-01,2,Team B,100
817041,Name 8,Name 5,True,Single Deal,2025-03-02,6,Team A,100
430489,Name 3,Name 9,True,Single Deal,2025-03-02,1,Team A,99
289281,Name 3,Name 9,True,Single Deal,2025-03-02,2,Team A,100
152497,Name 6,Name 7,True,Single Deal,2025-03-02,1,Team A,100
407917,Name 10,Name 11,True,Single Deal,2025-03-02,1,Team B,100
679761,Name 12,Name 11,True,Single Deal,2025-03-02,2,Team B,100
353063,Name 8,Name 6,True,Single Deal,2025-03-03,1,Team A,100
860017,Name 12,Name 13,True,Single Deal,2025-03-03,2,Team B,100
880973,Name 2,Name 6,True,Master Deal,2025-03-03,1,Team A,98
623860,Name 4,Name 7,True,Single Deal,2025-03-03,3,Team A,100
484487,Name 13,Name 12,True,Single Deal,2025-03-03,1,Team B,97
399203,Name 3,Name 7,True,Single Deal,2025-03-03,1,Team A,100
876319,Name 3,Name 8,True,Master Deal,2025-03-03,1,Team A,100
626124,Name 7,Name 5,True,Single Deal,2025-03-04,5,Team A,100
931845,Name 6,Name 5,True,Master Deal,2025-03-04,2,Team A,100
714017,Name 5,Name 3,True,Single Deal,2025-03-04,1,Team A,100
878592,Name 11,Name 10,True,Single Deal,2025-03-04,3,Team B,100
761310,Name 8,Name 2,True,Master Deal,2025-03-04,2,Team A,100
972207,Name 8,Name 4,True,Single Deal,2025-03-04,1,Team A,100
848529,Name 11,Name 14,True,Single Deal,2025-03-04,1,Team B,100
638938,Name 4,Name 3,True,Single Deal,2025-03-05,3,Team A,100
336783,Name 12,Name 14,True,Master Deal,2025-03-05,2,Team B,100
781749,Name 7,Name 2,True,Single Deal,2025-03-05,1,Team A,97
603500,Name 6,Name 3,True,Single Deal,2025-03-05,4,Team A,100
806017,Name 2,Name 7,True,Single Deal,2025-03-05,2,Team A,99
734930,Name 2,Name 1,True,Single Deal,2025-03-05,2,Team A,99
695789,Name 14,Name 13,True,Master Deal,2025-03-05,1,Team B,100
930302,Name 14,Name 10,True,Master Deal,2025-03-05,1,Team B,99
995017,Name 7,Name 3,True,Single Deal,2025-03-06,2,Team A,99
476091,Name 13,Name 14,True,Master Deal,2025-03-06,5,Team B,98
122942,Name 8,Name 7,True,Single Deal,2025-03-06,1,Team A,100
397477,Name 4,Name 8,True,Single Deal,2025-03-06,1,Team A,97
796922,Name 14,Name 11,True,Single Deal,2025-03-06,2,Team B,100
324754,Name 5,Name 9,True,Master Deal,2025-03-07,1,Team A,98
425416,Name 7,Name 3,True,Single Deal,2025-03-07,2,Team A,97
252607,Name 12,Name 14,True,Master Deal,2025-03-07,1,Team B,100
493214,Name 1,Name 7,True,Master Deal,2025-03-08,3,Team A,100
766060,Name 14,Name 11,True,Single Deal,2025-03-08,4,Team B,100
963442,Name 2,Name 7,True,Single Deal,2025-03-08,5,Team A,99
507446,Name 3,Name 9,True,Master Deal,2025-03-08,1,Team A,100
661683,Name 2,Name 3,True,Master Deal,2025-03-08,1,Team A,100
291551,Name 7,Name 1,True,Single Deal,2025-03-09,2,Team A,99
592529,Name 10,Name 14,True,Master Deal,2025-03-09,3,Team B,99
272154,Name 14,Name 13,True,Single Deal,2025-03-09,1,Team B,100
393046,Name 6,Name 8,True,Single Deal,2025-03-09,3,Team A,100
599508,Name 3,Name 1,True,Master Deal,2025-03-09,1,Team A,100
724187,Name 2,Name 4,True,Single Deal,2025-03-09,2,Team A,99
459385,Name 5,Name 4,True,Single Deal,2025-03-10,1,Team A,99
995113,Name 12,Name 13,True,Single Deal,2025-03-10,2,Team B,100
719596,Name 9,Name 2,True,Single Deal,2025-03-10,1,Team A,100
385173,Name 9,Name 7,True,Single Deal,2025-03-10,4,Team A,98
239685,Name 1,Name 5,True,Single Deal,2025-03-10,3,Team A,98
801934,Name 8,Name 1,True,Single Deal,2025-03-10,3,Team A,98
634299,Name 12,Name 13,True,Single Deal,2025-03-10,2,Team B,100
144993,Name 10,Name 11,True,Single Deal,2025-03-10,1,Team B,97
171296,Name 3,Name 7,True,Single Deal,2025-03-10,3,Team A,100
538698,Name 8,Name 7,True,Master Deal,2025-03-11,2,Team A,100
553496,Name 3,Name 6,True,Single Deal,2025-03-11,1,Team A,100
227338,Name 14,Name 13,True,Master Deal,2025-03-11,2,Team B,100
717947,Name 12,Name 14,True,Single Deal,2025-03-12,1,Team B,100
280139,Name 4,Name 2,True,Single Deal,2025-03-12,1,Team A,99
162571,Name 8,Name 3,True,Single Deal,2025-03-12,1,Team A,100
259651,Name 13,Name 10,True,Single Deal,2025-03-12,1,Team B,99
591055,Name 9,Name 6,True,Master Deal,2025-03-13,2,Team A,100
486851,Name 7,Name 2,True,Master Deal,2025-03-13,3,Team A,100
244360,Name 2,Name 1,True,Master Deal,2025-03-13,1,Team A,100
514205,Name 12,Name 11,True,Master Deal,2025-03-13,3,Team B,100
651642,Name 6,Name 1,True,Single Deal,2025-03-14,2,Team A,100
370620,Name 8,Name 7,True,Single Deal,2025-03-14,1,Team A,100
932923,Name 2,Name 3,True,Single Deal,2025-03-14,3,Team A,99
589218,Name 10,Name 12,True,Master Deal,2025-03-14,1,Team B,98
604618,Name 12,Name 10,True,Single Deal,2025-03-14,3,Team B,99
470725,Name 9,Name 4,True,Single Deal,2025-03-14,1,Team A,100
324425,Name 12,Name 10,True,Single Deal,2025-03-15,2,Team B,100
711176,Name 3,Name 9,True,Single Deal,2025-03-15,4,Team A,100
932138,Name 9,Name 7,True,Single Deal,2025-03-15,5,Team A,99
386402,Name 6,Name 7,True,Master Deal,2025-03-15,2,Team A,100
859356,Name 9,Name 5,True,Single Deal,2025-03-15,1,Team A,97
215213,Name 6,Name 4,True,Single Deal,2025-03-15,1,Team A,100
146151,Name 12,Name 13,True,Single Deal,2025-03-16,3,Team B,100
722076,Name 13,Name 14,True,Master Deal,2025-03-16,2,Team B,100
140833,Name 2,Name 9,True,Single Deal,2025-03-17,2,Team A,99
144832,Name 3,Name 2,True,Single Deal,2025-03-17,2,Team A,100
795082,Name 10,Name 12,True,Single Deal,2025-03-17,1,Team B,99
992440,Name 6,Name 5,True,Single Deal,2025-03-17,3,Team A,100
902056,Name 11,Name 14,True,Master Deal,2025-03-17,4,Team B,98
375487,Name 7,Name 6,True,Master Deal,2025-03-17,2,Team A,98
634635,Name 3,Name 9,True,Single Deal,2025-03-17,2,Team A,100
918764,Name 6,Name 2,True,Single Deal,2025-03-17,1,Team A,99
667702,Name 11,Name 13,True,Single Deal,2025-03-17,7,Team B,100
509688,Name 14,Name 10,True,Single Deal,2025-03-17,2,Team B,100
988326,Name 10,Name 11,True,Single Deal,2025-03-17,1,Team B,100
259072,Name 6,Name 2,True,Single Deal,2025-03-18,4,Team A,98
191771,Name 8,Name 6,True,Master Deal,2025-03-18,3,Team A,100
684352,Name 4,Name 3,True,Master Deal,2025-03-18,2,Team A,100
594097,Name 9,Name 4,True,Single Deal,2025-03-19,4,Team A,100
994506,Name 9,Name 7,True,Single Deal,2025-03-19,1,Team A,100
800901,Name 3,Name 4,True,Single Deal,2025-03-19,1,Team A,99
142079,Name 9,Name 1,True,Master Deal,2025-03-19,2,Team A,99
934870,Name 2,Name 6,True,Single Deal,2025-03-19,2,Team A,100
550363,Name 14,Name 11,True,Master Deal,2025-03-20,1,Team B,100
390828,Name 13,Name 11,True,Master Deal,2025-03-20,1,Team B,98
252773,Name 8,Name 1,True,Master Deal,2025-03-20,2,Team A,98
902257,Name 14,Name 13,True,Single Deal,2025-03-20,2,Team B,99
396651,Name 7,Name 3,True,Single Deal,2025-03-20,1,Team A,100
578608,Name 2,Name 9,True,Single Deal,2025-03-20,5,Team A,100
918691,Name 11,Name 13,True,Single Deal,2025-03-20,4,Team B,100
309845,Name 12,Name 14,True,Master Deal,2025-03-20,2,Team B,100
329317,Name 2,Name 7,True,Single Deal,2025-03-20,1,Team A,99
385410,Name 9,Name 1,True,Master Deal,2025-03-20,3,Team A,100
922359,Name 1,Name 6,True,Single Deal,2025-03-20,1,Team A,100
183854,Name 12,Name 11,True,Master Deal,2025-03-21,1,Team B,99
372611,Name 13,Name 14,True,Single Deal,2025-03-21,5,Team B,100
265777,Name 5,Name 2,True,Master Deal,2025-03-21,4,Team A,99
785633,Name 9,Name 2,True,Single Deal,2025-03-21,2,Team A,100
246638,Name 7,Name 6,True,Single Deal,2025-03-21,5,Team A,100
535997,Name 12,Name 14,True,Single Deal,2025-03-21,2,Team B,98
246514,Name 4,Name 2,True,Master Deal,2025-03-21,4,Team A,100
798258,Name 10,Name 11,True,Single Deal,2025-03-21,2,Team B,99
777423,Name 8,Name 9,True,Single Deal,2025-03-21,1,Team A,100
848085,Name 5,Name 9,True,Single Deal,2025-03-22,2,Team A,100
827651,Name 9,Name 1,True,Single Deal,2025-03-22,3,Team A,100
951987,Name 14,Name 12,True,Master Deal,2025-03-22,3,Team B,99
330552,Name 7,Name 8,True,Single Deal,2025-03-22,3,Team A,100
107499,Name 8,Name 2,True,Single Deal,2025-03-22,2,Team A,97
450153,Name 6,Name 3,True,Single Deal,2025-03-22,5,Team A,97
170150,Name 13,Name 12,True,Single Deal,2025-03-23,3,Team B,99
679896,Name 9,Name 4,True,Single Deal,2025-03-23,2,Team A,99
828664,Name 3,Name 6,True,Master Deal,2025-03-23,4,Team A,100
494206,Name 12,Name 13,True,Single Deal,2025-03-23,3,Team B,100
125401,Name 12,Name 14,True,Single Deal,2025-03-23,2,Team B,100
499476,Name 13,Name 10,True,Single Deal,2025-03-23,2,Team B,100
757395,Name 3,Name 9,True,Single Deal,2025-03-23,1,Team A,100
805284,Name 1,Name 7,True,Single Deal,2025-03-24,4,Team A,100
347130,Name 6,Name 5,True,Single Deal,2025-03-24,3,Team A,100
223969,Name 14,Name 11,True,Single Deal,2025-03-24,2,Team B,100
862564,Name 1,Name 9,True,Single Deal,2025-03-24,1,Team A,100
602651,Name 1,Name 3,True,Single Deal,2025-03-24,1,Team A,100
453771,Name 6,Name 7,True,Master Deal,2025-03-24,2,Team A,100
867405,Name 9,Name 2,True,Single Deal,2025-03-24,2,Team A,100
742214,Name 13,Name 14,True,Single Deal,2025-03-25,2,Team B,100
295864,Name 8,Name 9,True,Single Deal,2025-03-25,1,Team A,100
382831,Name 8,Name 5,True,Single Deal,2025-03-25,2,Team A,100
716217,Name 12,Name 13,True,Single Deal,2025-03-25,2,Team B,100
384427,Name 14,Name 11,True,Master Deal,2025-03-25,2,Team B,98
498629,Name 5,Name 4,True,Single Deal,2025-03-25,1,Team A,100
159259,Name 3,Name 5,True,Single Deal,2025-03-26,4,Team A,100
668293,Name 8,Name 2,True,Single Deal,2025-03-26,3,Team A,100
684443,Name 6,Name 1,True,Single Deal,2025-03-26,1,Team A,100
586308,Name 9,Name 5,True,Single Deal,2025-03-26,2,Team A,100
778929,Name 5,Name 7,True,Single Deal,2025-03-26,5,Team A,100
885438,Name 7,Name 2,True,Single Deal,2025-03-26,4,Team A,99
610888,Name 11,Name 13,True,Master Deal,2025-03-27,1,Team B,98
102043,Name 5,Name 8,True,Single Deal,2025-03-27,1,Team A,99
275113,Name 9,Name 5,True,Single Deal,2025-03-27,4,Team A,98
290036,Name 14,Name 10,True,Single Deal,2025-03-28,1,Team B,100
527817,Name 8,Name 6,True,Master Deal,2025-03-28,1,Team A,100
770369,Name 8,Name 2,True,Single Deal,2025-03-28,2,Team A,100
680322,Name 7,Name 6,True,Single Deal,2025-03-28,3,Team A,98
990859,Name 12,Name 14,True,Single Deal,2025-03-28,1,Team B,98
833986,Name 5,Name 9,True,Master Deal,2025-03-29,1,Team A,98
754688,Name 3,Name 2,True,Single Deal,2025-03-29,1,Team A,99
586019,Name 1,Name 9,True,Master Deal,2025-03-30,2,Team A,100
195606,Name 11,Name 13,True,Single Deal,2025-03-30,1,Team B,100
923987,Name 10,Name 13,True,Single Deal,2025-03-30,1,Team B,100
476178,Name 11,Name 13,True,Single Deal,2025-03-30,1,Team B,99
891164,Name 13,Name 12,True,Single Deal,2025-03-30,1,Team B,100
406655,Name 5,Name 7,True,Single Deal,2025-03-31,4,Team A,100
266924,Name 4,Name 8,True,Master Deal,2025-03-31,2,Team A,100
519273,Name 2,Name 4,True,Master Deal,2025-03-31,2,Team A,99
370157,Name 10,Name 11,True,Single Deal,2025-03-31,2,Team B,99
699782,Name 11,Name 10,True,Single Deal,2025-03-31,4,Team B,100
478471,Name 6,Name 8,True,Single Deal,2025-03-31,2,Team A,99
527481,Name 11,Name 13,True,Master Deal,2025-03-31,4,Team B,99
673094,Name 13,Name 12,True,Master Deal,2025-03-31,1,Team B,100
885743,Name 5,Name 3,True,Single Deal,2025-03-31,5,Team A,100
401153,Name 8,Name 3,True,Single Deal,2025-03-31,1,Team A,98
837019,Name 13,Name 14,True,Single Deal,2025-03-31,2,Team B,100
375218,Name 6,Name 8,True,Single Deal,2025-04-01,1,Team A,100
601989,Name 7,Name 6,True,Single Deal,2025-04-01,3,Team A,100
134272,Name 8,Name 9,True,Single Deal,2025-04-01,2,Team A,100
897048,Name 4,Name 3,True,Single Deal,2025-04-01,5,Team A,100
602748,Name 8,Name 5,True,Master Deal,2025-04-02,2,Team A,100
428258,Name 2,Name 7,True,Single Deal,2025-04-02,1,Team A,100
903208,Name 8,Name 6,True,Master Deal,2025-04-03,1,Team A,99
267628,Name 13,Name 12,True,Single Deal,2025-04-03,3,Team B,100
412939,Name 2,Name 1,True,Single Deal,2025-04-03,1,Team A,100
849662,Name 13,Name 11,True,Single Deal,2025-04-03,3,Team B,100
672437,Name 1,Name 4,True,Single Deal,2025-04-03,2,Team A,99
248514,Name 12,Name 14,True,Single Deal,2025-04-04,1,Team B,100
714837,Name 6,Name 5,True,Single Deal,2025-04-04,1,Team A,100
587899,Name 7,Name 3,True,Master Deal,2025-04-04,2,Team A,100
346546,Name 9,Name 7,True,Single Deal,2025-04-04,1,Team A,100
338442,Name 14,Name 10,True,Master Deal,2025-04-04,2,Team B,100
765669,Name 1,Name 8,True,Master Deal,2025-04-05,1,Team A,99
964774,Name 7,Name 5,True,Single Deal,2025-04-05,1,Team A,100
939079,Name 2,Name 6,True,Single Deal,2025-04-05,3,Team A,100
380268,Name 4,Name 5,True,Single Deal,2025-04-05,2,Team A,97
234620,Name 6,Name 2,True,Master Deal,2025-04-06,1,Team A,100
119112,Name 9,Name 8,True,Master Deal,2025-04-06,2,Team A,99
669884,Name 9,Name 1,True,Master Deal,2025-04-06,1,Team A,98
909047,Name 4,Name 9,True,Master Deal,2025-04-07,1,Team A,98
558607,Name 3,Name 6,True,Master Deal,2025-04-07,3,Team A,100
830994,Name 1,Name 3,True,Master Deal,2025-04-07,2,Team A,99
365503,Name 6,Name 7,True,Single Deal,2025-04-08,1,Team A,99
951118,Name 10,Name 13,True,Single Deal,2025-04-08,1,Team B,100
493127,Name 7,Name 1,True,Single Deal,2025-04-08,1,Team A,100
800731,Name 9,Name 8,True,Master Deal,2025-04-08,1,Team A,99
268187,Name 2,Name 1,True,Single Deal,2025-04-08,4,Team A,98
774720,Name 5,Name 6,True,Single Deal,2025-04-09,1,Team A,100
981609,Name 7,Name 4,True,Single Deal,2025-04-09,2,Team A,98
450733,Name 4,Name 8,True,Single Deal,2025-04-10,2,Team A,100
630415,Name 14,Name 11,True,Single Deal,2025-04-10,5,Team B,100
999516,Name 13,Name 11,True,Single Deal,2025-04-11,3,Team B,100
729402,Name 7,Name 6,True,Single Deal,2025-04-12,1,Team A,100
229287,Name 5,Name 6,True,Single Deal,2025-04-12,2,Team A,100
964366,Name 14,Name 11,True,Single Deal,2025-04-12,2,Team B,100
286198,Name 14,Name 11,True,Master Deal,2025-04-12,2,Team B,100
